symbol	Control_1	Control_2	MSC_1	MSC_2	MSC_3	Control_1
C5orf30	168	101	81	79.6	152	87
C5orf34	51.12	70	34	28	63	33
C5orf38	0	0	0	0	0	0
C5orf42	298	373	194	257	250.63	316
C5orf45	60.29	161.66	105.97	77.59	55.92	122.46
C5orf46	0	0	0	0	0	0
C5orf47	0	0	0	0	0	0
C5orf49	1	0	1	0	0	0
C5orf51	714.98	938.42	528.86	541	678.84	662.71
C5orf52	0	0	0	0	0	0
C5orf56	278	325	256	215.62	310	247
C5orf58	5	38	20	11	6	12
C5orf60	0	0	0	0	0	0
C5orf63	49	105	60	41	56	44
C5orf64	2	5	1.01	2	3.01	5
C5orf66	54.39	62.06	32	49.03	51.04	37.08
C5orf66-AS1	0	0	0	0	0	0
C5orf66-AS2	0	0	0	0	0	0
C5orf67	0	2	1	0	0	0
C6	0	0	0	0	0	0
C6orf1	520	531	334	297	392.01	419
C6orf10	0	0	0	0	0	0
C6orf106	2748.91	2885.04	1881.84	1599.74	2172.84	2282.01
C6orf118	0	0	0	0	0	0
C6orf120	1061.24	1074.45	702.05	553.88	855.47	759.21
C6orf132	3	1	0	0	2	1
C6orf136	267	356.7	204	186	227	230
C6orf141	0	0	0	0	0	0
C6orf15	0	0	0	0	0	0
C6orf163	0	2	2	6	4	7
C6orf165	0	2	1	0	1	0
C6orf195	0	0	0	0	0	0
C6orf201	9.86	28	13	35	9	24
C6orf203	136	150	109	87	128	101
C6orf222	1	3	0	0	1	1
C6orf223	2	2	2	0	1	1
C6orf226	113	130.01	87	89	100	101
C6orf229	1	6	2	5	1	5
C6orf25	4	8	2	4	1	1
C6orf47	638	752.33	504	431.33	516	569
C6orf48	1155	1694	1104	876.02	932	1450
C6orf52	4	5	7	1	1	1
C6orf58	0	0	0	0	0	0
C6orf62	3519.55	4500.47	2622.71	2496.35	2805.77	3368.64
C6orf7	0	0	0	0	0	0
C6orf89	2340.98	2594.1	1663.03	1512	1951	1947.77
C6orf99	1	0	1	0	0	0
C7	0	0	0	0	1	1.01
C7orf13	124	57	34	60	113	63
C7orf25	182	188	120	141	144	173
C7orf26	582	700	444	345	495	519
C7orf31	100	122	60	49	112	92
C7orf33	0	0	0	0	0	0
C7orf34	0	0	0	0	0	0
C7orf43	835.67	1670.56	882.12	676.98	730	966.75
C7orf49	515.95	507.94	307.52	282.61	420.82	393.11
C7orf50	280	366	272	156.01	228	199
C7orf55	100.66	148.36	89.33	65.01	117.71	92.65
C7orf55-LUC7L2	219.8	244.43	212.9	183.28	206.63	183.03
C7orf57	0	4	1	1	0	2
C7orf60	349	384	209	220	221.2	312
C7orf61	10	6	7	8	4	8
C7orf62	0	0	0	0	0	0
C7orf65	1	2.2	0	0	0	0
C7orf66	0	0	0	0	0	0
C7orf69	0	0	0	0	0	0
C7orf71	0	0	0	0	0	1
C7orf72	0	0	0	2	0	0
C7orf73	651	649	457	384	471	531.36
C7orf76	0	1	0	0	0	3
C7orf77	0	0	0	0	0	0
C8A	0	0	0	0	0	0
C8B	0	0	0	0	0	0
C8G	11	8	10	8	11	11
C8orf22	0	0	0	0	0	0
C8orf31	3	10	5	9	5	13
C8orf33	548	610	437	378	514	440
C8orf34	0	0	0	0	0	0
C8orf34-AS1	0	0	0	0	0	0
C8orf37	14	45	26	28	31	32
C8orf37-AS1	1	2	0	0	0	0
C8orf4	0	0	0	0	0	0
C8orf44	31.31	56.5	24.45	28.76	25.22	36.84
C8orf44-SGK3	41.86	86.15	108.48	59.61	76.36	41.83
C8orf46	7	13	3	13	2	17
C8orf48	0	0	0	0	0	0
C8orf49	0	4	1	0	0	0
C8orf58	96.99	141	86	76	49	132.99
C8orf59	367.93	275.8	218.01	156.76	261.98	265.92
C8orf74	0	0	0	0	0	0
C8orf76	290.02	353.65	185.95	175.81	297.4	277.91
C8orf82	337	366	156	163.95	172	279
C8orf86	0	2	0	0	0	2
C8orf87	0	0	0	0	0	0
C8orf88	41.8	2	1	13.93	18.36	19.4
C8orf89	0	0	0	0	0	0
C9	0	0	0	0	0	0
C9orf106	0	0	0	0	0	0
C9orf114	773.73	937.53	578.93	508.83	685.89	684.76
C9orf116	3	12	3	7	3	10
C9orf117	1	2	2	0	1	5
C9orf129	0	0	0	0	0	0
C9orf131	1	4	4	2	1	2
C9orf135	0	2	0	2	0	0
C9orf135-AS1	0	0	0	0	0	0
C9orf139	173.62	208.32	115.61	187.5	237.27	163.39
C9orf142	888.2	1447	950.01	912.21	902.65	958.81
C9orf152	1	4	1	0	1	0
C9orf153	0	1	1	0	0	0
C9orf156	468	556.98	333	357.83	426	495
C9orf16	1050	1045.05	632	495	719	859
C9orf163	10.11	10	15.31	15	3.03	8.11
C9orf170	0	0	0	0	0	0
C9orf171	1	0	0	0	2	0
C9orf172	159	171	69	92	92	147
C9orf173	1.27	1.15	2.27	1	2	2.42
C9orf173-AS1	11.73	38.85	8.73	6	14	5.58
C9orf24	0	0	0	0	0	1
C9orf3	101	90.84	54	27	103	65.64
C9orf40	360	266	138	110	259	199
C9orf41	360.08	320	205	171	345	218.06
C9orf41-AS1	1	5	0	1	4	0
C9orf43	2	5	2	4	4	1
C9orf47	0	0	0	0	0	0
C9orf50	0	0	0	0	0	0
C9orf57	0	0	0	0	0	0
C9orf62	0	0	0	0	0	0
C9orf64	224	193	103	63	191	102
C9orf66	37.08	28.07	16.05	21.04	23	25.05
C9orf69	1347.71	1461	1033	833.39	1149	1095
C9orf72	197.13	346	174	267	219	346
C9orf78	1876.26	1842.62	1202.69	1086.76	1504.57	1796.97
C9orf84	0	0	0	0	0	1
C9orf85	110.47	110.82	92	80.61	79	117.91
C9orf89	365	457.75	352	334.92	366.8	343.92
C9orf9	13	26	15	10	16	22
C9orf91	425.72	660	376	266	328.99	400.12
C9orf92	0	0	0	0	0	0
CA1	0	0	0	0	0	0
CA10	12	49	34	34	20	49
CA11	52	166	107	125	36	268
CA12	0	0	0	0	0	0
CA13	8	17	7	9	13	10
CA14	0	2	1	1	1	0
CA2	13	21	10	17	8	27
CA3	0	0	0	0	1	0
CA4	0	0	0	0	0	0
CA5A	0	0	2	0	0	0
CA5B	641.31	556.86	368.23	463.05	563.76	528.08
CA5BP1	33.81	55.84	43.92	28.3	31.42	34.56
CA6	1	3	2	0	0	2
CA7	0	0	0	0	0	0
CA8	0	0	0	0	0	0
CA9	0	0	0	0	0	0
CAAP1	403	400	246	248	312	267
CAB39	4123.84	4221.01	2703.09	2494.13	3440.96	3331.99
CAB39L	227	163	81	92	178	117
CABIN1	1931	2388.92	1398.01	1304.01	1615	1681.98
CABLES1	26	39	36	8	16	14
CABLES2	345.19	263	150	145	251	226.53
CABP1	0	0	0	0	0	0
CABP2	0	0	0	0	0	0
CABP4	22.98	123.6	38.99	33	16.24	56.02
CABP5	0	0	0	0	0	0
CABP7	2.15	3.25	2.13	2.15	1.06	6.3
CABS1	0	0	0	0	0	0
CABYR	5	7	1	4	2	2
CACFD1	15	37	12	2	6	17
CACHD1	0	1	2	0	0	0
CACNA1A	10	31	8	9	9	14
CACNA1B	1	1	0	1	0	0
CACNA1C	9	22	12	23	8	16
CACNA1C-AS1	6	17.7	20	8	3	15
CACNA1C-AS2	8	12	9	5	2	1
CACNA1C-AS4	0	0	0	0	0	0
CACNA1C-IT2	0	0	0	0	0	0
CACNA1C-IT3	0	0	0	0	0	0
CACNA1D	1	15	16	20	2	22
CACNA1E	9	10	5	1	6	2
CACNA1F	11	9	9	5	13	9
CACNA1G	0	0	0	0	0	1
CACNA1G-AS1	0	0	0	0	0	0
CACNA1H	128	168	83	92	207	91
CACNA1I	1184.52	2511.11	977	953.76	715	1825.76
CACNA1S	0	0	0	0	0	0
CACNA2D1	0	0	0	0	0	0
CACNA2D2	32	23	6	0	23	8
CACNA2D3	0	1	1	0	0	0
CACNA2D3-AS1	0	0	0	0	0	0
CACNA2D4	250	233.77	125	144	193.77	206
CACNB1	237	339.01	188	207.89	227	278
CACNB2	18	25	8	18	15	12
CACNB3	165	327	143	207	115	305
CACNB4	1	2	2	2	4	1
CACNG1	0	1	0	0	0	1
CACNG2	0	0	0	0	0	0
CACNG3	0	0	0	0	0	0
CACNG4	0	1	0	0	0	0
CACNG5	0	0	0	0	0	0
CACNG6	0	0	0	0	0	0
CACNG7	0	0	0	0	0	0
CACNG8	5	7	2	5.86	0	1
CACTIN	899.52	1009	705.18	622.37	805.07	787.24
CACTIN-AS1	6.48	17	13.82	10.63	7.93	8.76
CACUL1	960	1053	550.99	537.12	758.02	770
CACYBP	1618.97	1287.03	909	815.89	1255	1027.91
CAD	797	1132	870	716	836	719
CADM1	21	30	22	24	12	19
CADM2	0	0	0	0	0	0
CADM2-AS2	0	0	0	0	0	0
CADM3	0	2	0	0	0	1
CADM3-AS1	0	0	0	0	0	0
CADM4	11	19	5	6	9	11
CADPS	0	0	0	0	0	0
CADPS2	0	0	0	0	0	0
CAGE1	0	2	0	3	0	0
CAHM	7	10	7	4	7	6
CALB1	2	4	0	2	0	2
CALB2	0	0	0	0	0	0
CALCA	0	0	0	0	1	0
CALCB	0	1	0	2	0	1
CALCOCO1	3009.46	4523.02	2332.86	2578.79	2804.99	3559
CALCOCO2	1965	2334.06	1604	1362	1624	1723
CALCR	0	0	0	0	0	0
CALCRL	0	1	1	0	2	0
CALD1	1	2	2	1	0	1
CALHM1	34	16	4	10	26	10
CALHM2	2346.51	1938.09	1423	1453	2095	1942.38
CALHM3	1	2	0	1	0	0
CALM1	15060.72	10774.37	7172.43	7400.95	13033.39	9859.89
CALM2	4993	3787.02	2424.9	2165.32	3947.03	3031.13
CALM3	7719.37	6034.03	3768.71	2857.56	5656.08	4874.43
CALML3	0	0	0	0	0	0
CALML3-AS1	0	0	0	0	0	0
CALML4	212.38	257	161	164	156	180
CALML5	0	0	0	0	0	0
CALML6	0	1	3	0	0	5
CALN1	0	0	0	1	0	0
CALR	7090.11	5470.18	3803.08	2761.96	5942.54	4006.61
CALR3	1	0	0	0	0	0
CALU	777.77	681	480.81	440.24	675	521.72
CALY	2	6	1	1	0	4
CAMK1	63	98	66	52	67	77
CAMK1D	661.49	910.2	846.35	965.18	856.27	855.9
CAMK1G	1	3	0	0	0	0
CAMK2A	0	0	0	0	0	0
CAMK2B	0	1	1	1	0	0
CAMK2D	1133.12	1185.22	769.01	914.61	916	1067
CAMK2G	1424	1814.82	1126	1032.94	1260.79	1357.01
CAMK2N1	19	23	15	13	6	7
CAMK2N2	3	4	4	0	1	1
CAMK4	730	1760	1108	896	674	1380
CAMKK1	50	65	35	55	30	60
CAMKK2	1063.7	1251.87	912.99	810	1082	845.94
CAMKMT	79	102	40	24	59	60
CAMKV	0	0	0	0	0	1
CAMLG	693.9	680.92	419.07	380.03	544.57	585
CAMP	0	0	0	0	0	0
CAMSAP1	561	631.66	399	448	441	592
CAMSAP2	37.36	57.72	32	22	34	45
CAMSAP3	4	7	1	5	2	6
CAMTA1	462	531	303	283.87	316.31	409.2
CAMTA2	1423	2060	1181	1154.02	1253	1459
CAND1	2500.97	2314	1423	1192	1878.25	1779.11
CAND1.11	0	0	0	0	0	0
CAND2	3	2	3	2	1	2
CANT1	1481.37	1340	743	680	1203.99	1133
CANX	6295.94	6522.07	4547.98	3663.64	5582.99	4767.5
CAP1	12935.3	8622.07	6003.14	5375.57	11013.34	7616.11
CAP2	0	0	0	0	0	0
CAPG	827	1002	723	548	741	693
CAPN1	3536	3553	2199	1736	2694	2888.06
CAPN10	636	1037	721	672.03	799.99	704.94
CAPN10-AS1	83	102	61	46	89	62
CAPN11	0	0	0	0	0	0
CAPN12	185.39	133.93	70.02	141.23	181.2	241.85
CAPN13	0	0	0	0	0	0
CAPN14	8	5	2	5	18	7
CAPN15	2229.08	2520.34	1643.09	1378.24	2274.75	1592.01
CAPN2	10240.84	6171.92	4122.66	4809	8642.3	5975.39
CAPN3	72	124.01	77	55	48	73
CAPN5	17	42	14	7	12	23
CAPN6	0	0	0	0	0	0
CAPN7	863.92	1166	703.79	711.53	744	938.22
CAPN8	0	1	1	4	2	0
CAPN9	0	0	0	0	0	0
CAPNS1	4060	3784	2395	2115	3156.06	3439
CAPNS2	0	0	0	0	0	0
CAPRIN1	3877.73	3577	2128	1805	3042.95	2864.05
CAPRIN2	411	591	362.97	482.14	423	516
CAPS	191	447	237	183	146	272
CAPS2	10	4	3	2	6	3
CAPSL	0	0	0	1	0	0
CAPZA1	8119.36	6223.27	3981.38	3780.47	6387.54	5490.66
CAPZA2	1436	1344	907	773	1183.14	1111
CAPZA3	0	0	0	0	0	0
CAPZB	6337.89	6204.11	4364.67	3368.72	5342	5186
CARD10	0	7	2	0	1	0
CARD11	4789.99	5043.99	3572.25	3880.17	5196.54	4538
CARD14	40	104	63	86	49	67
CARD16	447	383	271	245	371	341.06
CARD17	6	10	9	8	8	10
CARD18	0	0	0	0	0	0
CARD6	202	366.07	193	146	183	237.83
CARD8	2979.07	4570.8	2266.06	2100.98	2340	3102.46
CARD8-AS1	519.65	859.99	523	479.64	404.02	666.89
CARD9	5	14	16	5	7	6
CARF	354.04	781.81	380.43	364.98	301	515.55
CARHSP1	1304.82	860.6	540.62	784.98	1207.46	998
CARKD	1085.33	1225.96	741.24	618	900	781.2
CARM1	892.9	891.01	483	504.35	693.21	659.28
CARNS1	18	66.01	42	28	22	43.92
CARS	1302.86	1272	841	818	1199	1018
CARS2	507	692	399	377	480.99	433.3
CARTPT	0	0	0	0	0	0
CASC1	0	0	0	0	0	1
CASC10	0	0	4	1	0	1
CASC11	1	0	1	0	1	1
CASC15	0	0	0	0	0	0
CASC16	0	0	0	0	0	0
CASC17	0	0	0	0	0	0
CASC18	1	0	0	0	0	0
CASC19	0	0	0	0	0	0
CASC2	2	0	0	0	1	0
CASC20	0	0	0	0	0	0
CASC21	0	0	1	0	0	0
CASC23	0	0	0	0	0	0
CASC3	2085.58	2576.97	1542	1357	1740.85	1887
CASC4	2287.98	2344.13	1334.12	1288.26	1687	2005.86
CASC5	1386.07	512	269	234	1024.85	297
CASC6	0	0	0	0	0	0
CASC8	1	0	0	0	0	0
CASC9	1	1	0	0	0	2
CASD1	560	798.01	500.93	421	491	564.04
CASK	533.97	794.95	600.75	724.99	469	826
CASKIN1	1.11	2.22	1.11	0	1.1	0
CASKIN2	25	10	14	2	17.01	7
CASP1	1178.99	1067	661	782	999.48	952.94
CASP10	648	794	492.94	322.21	544.05	497.96
CASP12	0	1	0	2	0	1
CASP14	0	0	0	0	0	0
CASP2	2109.27	2177.78	1358.01	1384.98	1846.5	1632.12
CASP3	1902.5	1476.94	884.08	764	1445.55	1092
CASP4	1846.02	1737	1105	1035.01	1421.77	1491.98
CASP5	3	3	1	0	0	1
CASP6	296.03	334.88	230.23	196	287.83	281.54
CASP7	600	470	274.87	367	527	474
CASP8	3318.52	4468.53	2621.06	2187.9	3166.48	2734.07
CASP8AP2	1266.02	1546	819	871.44	1038	1141
CASP9	361	481	237	212	243	292
CASQ1	3	0	1	7	2	7
CASQ2	0	0	0	0	0	0
CASR	7	2	1	1	1	0
CASS4	120	239	199	129	120	139.95
CAST	6717.33	4536.63	3152.45	2702.33	5505.8	3700.12
CASZ1	270	267	190	149	219	183
CAT	1480.07	1487	917	724.84	1137	1047
CATIP	1	0	0	0	0	0
CATIP-AS1	1	3	1	0	1	1
CATIP-AS2	0	0	0	0	0	0
CATSPER1	0	0	0	0	0	1
CATSPER2	1	4	0	2	1	3
CATSPER2P1	2	8	4	4	5.97	5
CATSPER3	8	6	5	2	6	8
CATSPER4	0	0	0	0	0	0
CATSPERB	28	98	38	35.02	15	45
CATSPERD	0	0	0	1	0	0
CATSPERG	10	17	12	17	4	11
CAV1	11	8	7	3	7.6	9
CAV2	0	1	0	2	0	1
CAV3	0	0	0	0	0	0
CBFA2T2	1246.46	1758.84	1206.64	1378.98	1165.62	1437.97
CBFA2T3	16	30	14	8	19	12
CBFB	2428.99	2247.69	1351.04	1211.26	1926.02	1696.89
CBL	2346.79	3201	1674.19	1642.03	1843	2281.98
CBLB	1550.99	2048.01	1231.01	1106	1319.02	1403.03
CBLC	0	0	0	0	0	0
CBLL1	2081	2621	2168	2146.01	2111.05	2234.12
CBLN1	0	0	0	0	0	0
CBLN2	0	1	0	0	0	0
CBLN3	157	432	220	91	102	143
CBLN4	0	0	1	0	0	0
CBR1	258.59	669.24	388.02	259	189.66	402
CBR3	273	217	105	112	190	191
CBR3-AS1	35	34	15	32	30	23
CBR4	323.52	323	191	169	266.13	221
CBS	13	37	19	14	22	22
CBWD1	371.83	169.45	121.06	144.16	306.82	194.09
CBWD2	272.93	280.23	180.21	172.22	266.72	235.02
CBWD3	91.54	107.75	56.67	56.47	94.61	73.19
CBWD5	409.26	403.38	232.19	201.25	390.24	212.75
CBWD6	39.49	52.32	41.88	41.9	34.29	71.96
CBX1	957	961	515	405	699	644
CBX2	21	9	7	4	27	3
CBX3	3556.41	2931.01	1695.52	1562.25	2599.66	2241.76
CBX3P2	24	40	23	19	16	16
CBX4	964.02	1543.99	802.56	692.84	679	1007.73
CBX5	3689.85	3249.48	1674.06	1285.27	2931.21	2000.47
CBX6	1506	2203	1313.11	1093.96	1253.41	1312.97
CBX7	1356.01	2152.02	1029	1125.09	880.63	1896
CBX8	93	133	55	32	48	94
CBY1	68	115	72.04	56	63	77
CBY3	8	8	7	6	10	5
CC2D1A	752	1167	585	565	618	755.99
CC2D1B	1175.39	2054.32	1256.14	1027.97	1035.55	1291.02
CC2D2A	5	6	3	1	1	2
CC2D2B	2	3	1	1	0	1
CCAR1	2033.69	2110.49	1298.92	1217.81	1841.31	1511.06
CCAR2	2802.42	2982	1791	1574.03	2402	2242
CCAT1	0	0	0	0	0	0
CCAT2	0	0	0	0	0	0
CCBE1	3	4	4	6	4	6
CCBL1	184	246	160	135	158	189
CCBL2	514	620.17	367.1	331.27	422.77	455.45
CCDC101	255	412	264	215	224.95	330
CCDC102A	407.98	275	173	158	349.11	186
CCDC102B	3	8	3	3	3	7
CCDC103	0	0	1	0	0	0
CCDC105	0	0	0	0	0	0
CCDC106	13	96	34	14	18	39
CCDC107	651.62	729.52	496.54	465.79	518.6	665.05
CCDC108	0	0	0	0	0	0
CCDC109B	1956	2280.99	1456.43	1405	1542.47	1905.03
CCDC110	0	1	0	0	0	0
CCDC112	189	53.94	44	59	123	97
CCDC113	4	6	8	9	3	7
CCDC114	18	23	8	6	2	17
CCDC115	991	1147	683	540	743.69	874
CCDC116	4	2	1	2	1	2
CCDC117	1215.07	906.99	563.01	530.53	1018.01	680
CCDC12	671	651	424	377	617.97	516
CCDC120	174	218.99	114	102	104.99	149.26
CCDC121	30	30.76	27	31	25	27
CCDC122	14.01	24.17	10.19	9.42	10.51	21.15
CCDC124	773	610	454	357	706	498
CCDC125	183	191	118	93	159	130.86
CCDC126	138	165	83	101	129	127.02
CCDC127	224	278	186	148	176	220
CCDC129	0	0	0	1	0	0
CCDC13	4	13	2	5	0	7
CCDC13-AS1	0	0	0	0	0	0
CCDC130	557	984.15	617.99	592	593	644.95
CCDC132	568	586.1	351	423	544.09	528.9
CCDC134	141.96	142.13	73	73	136	98
CCDC136	34	61	31	44	38	49
CCDC137	543.91	745.99	524	358.88	465.11	444
CCDC138	88	81.5	52	37	105	50
CCDC14	661.95	871	462.01	529	665	625.98
CCDC140	0	0	0	0	0	0
CCDC141	12	53	36	24	15	33
CCDC142	211.6	345.63	181.96	206.74	259.52	244.23
CCDC144A	9.1	201.24	102.68	78.31	7.08	86.64
CCDC144B	275.9	834.73	387.59	389.21	299.53	371.32
CCDC144CP	0	0	0	0	2.38	0
CCDC144NL	1	1	0	0	1.01	0
CCDC144NL-AS1	1	0	0	0	0	0
CCDC146	235	203	128	112	195	215
CCDC148	0	0	0	0	0	0
CCDC148-AS1	0	0	0	0	0	0
CCDC149	0	0	0	0	0	0
CCDC15	230	40	39	39	208	54
CCDC150	77	61	26	19	83	13
CCDC151	1	0	0	0	2	1
CCDC152	122	76.8	70	71.93	94	72.05
CCDC153	1	4	0	2	2	0
CCDC154	2	13	6	16	6	19
CCDC155	2	5	3	2	0	3
CCDC157	46.91	70.57	32.05	48.98	47.26	36.53
CCDC158	0	0	0	0	0	0
CCDC159	100	207	120	111	103	120
CCDC160	0	0	0	0	0	0
CCDC162P	0	1	0	0	0	1
CCDC163P	66	51	52	38	46.37	43
CCDC166	0	0	0	0	0	0
CCDC167	413	311	290	286	419	337
CCDC168	3	5	4	4	6	5
CCDC169	0	0	0	0	0	0
CCDC169-SOHLH2	0	0	0	0	0	0
CCDC17	25	29	14	18	19	22
CCDC170	0	1	0	2	0	1
CCDC171	28	10	6	8	23.67	6
CCDC172	0	0	0	0	0	0
CCDC173	0	2	0	3	0	0
CCDC174	508	645	405	369.01	435	527
CCDC175	0	0	0	0	0	0
CCDC176	42.11	42.09	32	36.14	40	30.08
CCDC177	1	0	0	0	0	0
CCDC178	0	0	0	0	0	0
CCDC179	0	0	0	0	0	0
CCDC18	324.19	200	159	78	339	118
CCDC180	56.04	84.88	10.41	0	0	25.3
CCDC181	0	1	0	0	0	0
CCDC182	0	0	0	0	0	0
CCDC183	18	23	14	8	5	18
CCDC183-AS1	31	52	28	18	29	34
CCDC184	9	11	4	4	8	6
CCDC185	0	0	0	0	0	0
CCDC186	950.26	1130.54	672.23	710.16	652.63	943.42
CCDC22	488	645	422	332	407	444
CCDC23	228.95	275	148	97	143	184
CCDC24	12	22	5	5	3	21
CCDC25	806	674	486	405.84	664.04	596.12
CCDC26	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0
CCDC28A	745	734.17	410	341	531.2	569.65
CCDC28B	139	113	67	33	99	66
CCDC3	1	4	2	3	1	9
CCDC30	11	17	7	11	6	16
CCDC33	0	1	0	0	0	0
CCDC34	192	80	63	36	180	62
CCDC36	0	2	1	0	2	3
CCDC37	0	0	0	1	0	0
CCDC37-AS1	0	0	0	0	0	0
CCDC38	0	0	0	0	0	0
CCDC39	63	114	60.05	69	56.83	79
CCDC40	0	0	0	0	0	0
CCDC42	0	1	1	2	3	0
CCDC42B	0	12.53	2.66	6.15	2.69	1.26
CCDC43	416.1	380	253	219	344.02	321
CCDC47	1221.96	1079	756	706.97	1075.6	868
CCDC50	1246	479	293	470	993.01	731
CCDC51	183.15	210	137.93	101	172	148.02
CCDC53	517	479	328	265	415	365.56
CCDC54	0	0	0	0	0	0
CCDC57	190	553.56	296.9	163	187	227.82
CCDC58	91	53	57	42	80	46.18
CCDC59	354	314	213.97	187	255	326
CCDC6	768	938.19	546.86	437	620.62	640.28
CCDC60	0	0	0	0	0	0
CCDC61	362	446	278	200	322	285.02
CCDC62	4	10	3	4	2	6
CCDC63	0	0	0	0	0	0
CCDC64	886	1884	1387	1504.44	836	1446
CCDC64B	2	11.51	4	3	1	1
CCDC65	301.49	276	177	183	231	269
CCDC66	443.21	725.65	394.33	425.73	368.06	582.73
CCDC67	0	0	0	0	0	0
CCDC68	1	0	0	0	2	2
CCDC69	3405	3219.5	2100	1727.97	2721.99	2542
CCDC7	107	100	70	90	69	91
CCDC70	0	0	0	0	0	0
CCDC71	345	407	274	214	284	338
CCDC71L	365	474.9	353	297	325	326
CCDC73	13.02	24.05	16.02	9.01	16.03	19.01
CCDC74A	63.67	137.68	98.56	62.56	34.82	88.16
CCDC74B	2.33	18.32	7.44	3.44	2.18	9.84
CCDC77	279	225	137	91	225	160
CCDC78	19	42	29	27	20	36
CCDC79	0	1	0	0	0	0
CCDC8	0	1	0	0	0	0
CCDC80	3	2	2	4	3	1
CCDC81	4	1	3	4	4	3
CCDC82	944	758	545.66	471	704.21	631.02
CCDC83	0	0	0	0	0	0
CCDC84	180	330.19	191	171.98	219	192
CCDC85A	1	1	1	0	0	0
CCDC85B	953	1013	561	435	664	805
CCDC85C	304.51	307.07	176.49	125	210.79	247.47
CCDC86	191	312	243.42	206	196	250.35
CCDC87	1	3	0	1	1	0
CCDC88A	196	139	86	82	160	107
CCDC88B	2236.02	3725.9	2311.87	2306.97	2276.18	2527.51
CCDC88C	4805.49	4939.98	3346	3588	4889	3880
CCDC89	2	4	1	6	3	0
CCDC9	302.97	353	191	146	265	208
CCDC90B	550.15	595.77	415	343	428	499.86
CCDC91	323	366.02	231	172	224	276
CCDC92	699	898	558	509	560	706
CCDC93	1048.77	1555.53	910.76	906	1020.06	1145.75
CCDC94	487	451	248	217	354	331
CCDC96	38	44	26	17	26	20
CCDC97	1229	1360	902	770	1114	1004.53
CCER1	0	0	0	0	0	0
CCER2	5	3	2	1	8	3
CCHCR1	343	429	240	238	283	285
CCIN	0	1	0	0	0	3
CCK	0	0	0	0	0	0
CCKAR	0	0	0	0	0	0
CCKBR	0	0	0	0	0	0
CCL1	11	20	10	6	2	7
CCL11	0	0	0	0	0	0
CCL13	0	0	0	0	0	0
CCL14	0	0	0	0	0	0
CCL15	0	0	0	0	1	0
CCL15-CCL14	0	0	0	0	0	0
CCL16	1	0	0	0	2	0
CCL17	40	82	60	25	24	78
CCL18	0	0	0	0	1	0
CCL19	5	7	3	0	3	1
CCL2	1	0	0	0	0	0
CCL20	2	18	11	13	11	21
CCL21	0	0	0	0	0	0
CCL22	279.97	504.02	388.18	194	262	283.01
CCL23	0	0	0	2	0	2
CCL24	0	0	0	0	0	0
CCL25	0	1	0	0	0	0
CCL26	0	0	0	0	0	0
CCL27	0	0	0	0	0	0
CCL28	223	251	156	135.69	197	169
CCL3	46	126	93	22	38	45
CCL3L1	0	4.31	2.4	0	0	0
CCL3L3	0	56.69	28.6	21	0	16
CCL4	351	149	111	98	306	160
CCL4L1	52.94	46.22	42.85	37.35	47.24	39.97
CCL4L2	3.06	25.88	32.15	20.65	8.69	12.03
CCL5	34798.22	11119.95	6792.46	11211.86	31682.78	17137.56
CCL7	0	0	0	0	0	0
CCL8	0	0	0	0	0	0
CCM2	3023.18	3807.61	2313.99	2132.04	2576.25	2785.94
CCM2L	0	0	0	0	0	0
CCNA1	22	3	5	3	10	3
CCNA2	2314.96	597.43	372.44	304.63	1706.65	482.02
CCNB1	1658	684	336	219	1228	417
CCNB1IP1	377	395	246	231	343	407
CCNB2	1618	466	296	203	1152	319
CCNB3	12	15	9	6	12	5
CCNC	807	725	466	438	628	676.01
CCND1	1	12	3	9	5	9
CCND2	4106.23	5937.11	3782.66	2984.12	3311.06	4150.84
CCND2-AS1	1	2	2	1	2	0
CCND3	3903.76	3024.01	2347.98	2242.02	3930.17	2517.03
CCNDBP1	2108.54	2324	1368	1248	1867.47	1893.99
CCNE1	251	210	117	53	166	92
CCNE2	337.66	160	87.12	46	235.26	100.2
CCNF	1281.07	588	333	223	947.18	372
CCNG1	2537	2341.93	1316	1363	1684.99	2268
CCNG2	1100	1622.19	914	896	717	1241
CCNH	502	442	257	277	397	372
CCNI	3587.3	4024	2236.89	2169	2660.52	3738
CCNI2	38.63	62.04	37	47.99	26	56.42
CCNJ	110	145.33	100	99	101	137
CCNJL	0	0	2	0	1	1
CCNK	1442.98	1511.42	876.44	787	1242.65	1048.86
CCNL1	1767.92	2630.16	1592.6	1678.61	1767.02	1952.59
CCNL2	2197	4480.27	2737.01	2955.01	2354.14	3182.12
CCNO	1	1	0	0	2	2
CCNT1	1003.22	1117.24	714.54	660.1	866.03	846.98
CCNT2	936.01	1359.01	680.38	789.16	879	944.5
CCNT2-AS1	26	16	11	14	11	12
CCNY	1335.65	1464.02	1030	896	1107.98	1266
CCNYL1	207.98	295	222	162.56	160	238
CCNYL2	0	0	0	0	0	0
CCP110	1000.94	906	586.14	619	792.05	647.97
CCPG1	1107.78	1430.75	928.46	1010.67	853.44	1271
CCR1	44	71	146	78	105	43
CCR10	34	71	36	15	16	44
CCR2	1561	2425	2612	3365	1970.36	3223
CCR3	67	28	29	58	84	73
